Disruption URL,CLDR Territory Code,Region,Product,Start Date (Pacific Time; may be approximated),End Date (Pacific Time; may be approximated),Source,Source URL,Title,Excerpt
https://www.google.com/transparencyreport/traffic/disruptions/35/,TR,Turkey,Blogger,03/01/2011,04/22/2011,World Bulletin,http://www.worldbulletin.net/?aType=haber&ArticleID=70494,Turkish court blocks Google's blogging site,"Google's famous blog hosting service, blogspot.com/blogger.com, has been banned following complaints by digital satellite platform Digiturk…"
https://www.google.com/transparencyreport/traffic/disruptions/34/,LY,Libya,All Products,02/18/2011,07/10/2011,Los Angeles Times,http://latimesblogs.latimes.com/technology/2011/02/libya-has-shut-down-the-internet-in-light-of-protests-reports-say.html,Libya's Internet reportedly down as violence against anti-government protesters continues,"The Internet has been shut down in Libya, according to multiple reports."
https://www.google.com/transparencyreport/traffic/disruptions/33/,LY,Libya,YouTube,02/17/2011,07/10/2011,BBC,http://www.bbc.co.uk/news/world-middle-east-12512202,Libya media crackdown amid anti-government protests,"Col Muammar Gaddafi's government in Libya has taken a series of measures, including blocking internet sites and shutting off electricity..."
https://www.google.com/transparencyreport/traffic/disruptions/31/,IR,Iran,Google Videos,01/30/2011,08/20/2012,Reuters,http://www.reuters.com/article/2011/01/31/iran-internet-censor-idUSLDE70U0Q920110131,More news websites blocked in Iran,Iranians have found their access to major news websites even more restricted than usual as more foreign sites were blocked by a government f…
https://www.google.com/transparencyreport/traffic/disruptions/30/,EG,Egypt,All Products,01/27/2011,02/02/2011,New York Times,http://www.nytimes.com/2011/01/29/technology/internet/29cutoff.html,Egypt Cuts Off Most Internet and Cell Service,"[The] Internet has never faced anything like what happened in Egypt on Friday, when the government of a country with 80 million people and a…"
https://www.google.com/transparencyreport/traffic/disruptions/29/,SD,Sudan,YouTube,01/27/2011,01/28/2011,,,,YouTube was partially accessible for 3 days
https://www.google.com/transparencyreport/traffic/disruptions/50/,TR,Turkey,YouTube,05/31/2010,10/30/2010,Open Net Initiative ,https://opennet.net/blog/2010/06/turkey-blocks-youtube-inadvertently-blocks-google-services,"Turkey Blocks YouTube, Inadvertently Blocks Google Services",Turkish internet users have been tweeting that that they have been unable to access some Google Services over the past few days...
https://www.google.com/transparencyreport/traffic/disruptions/75/,TR,Turkey,Google Translate,05/31/2010,06/08/2010,The Register,http://www.theregister.co.uk/2010/06/08/turkey_bans_google_services/,"Turkey bans Google Books, Google Docs, Google Translate...","Turkey has banned multiple Google services, according to reports, including Google Translate, Google Docs, and Google Books. "
https://www.google.com/transparencyreport/traffic/disruptions/76/,TR,Turkey,Google Books,05/31/2010,06/08/2010,The Register,http://www.theregister.co.uk/2010/06/08/turkey_bans_google_services/,"Turkey bans Google Books, Google Docs, Google Translate...","Turkey has banned multiple Google services, according to reports, including Google Translate, Google Docs, and Google Books. "
https://www.google.com/transparencyreport/traffic/disruptions/74/,TR,Turkey,Google Docs,05/31/2010,06/09/2010,The Register,http://www.theregister.co.uk/2010/06/08/turkey_bans_google_services/,"Turkey bans Google Books, Google Docs, Google Translate...","Turkey has banned multiple Google services, according to reports, including Google Translate, Google Docs, and Google Books. "
https://www.google.com/transparencyreport/traffic/disruptions/49/,PK,Pakistan,YouTube,05/20/2010,05/26/2010,Washington Post,http://voices.washingtonpost.com/comic-riffs/2010/05/draw_muhammad_day_pakistan_exp.html,'Draw Muhammad Day': Pakistan bans YouTube; Facebook still blocked,"A day after ordering that Facebook be blocked, the government also banned the video-sharing site, citing its ""growing sacrilegious content…"
https://www.google.com/transparencyreport/traffic/disruptions/48/,MM,Myanmar (Burma),Google Search,03/09/2010,05/01/2012,AP,http://www.france24.com/en/20101104-internet-crippled-ahead-election-burma-myanmar-cyber-attack,Internet crippled ahead of Burmese election,"A massive cyber attack has crippled Internet services in Myanmar ahead of Sunday's election, IT experts and web service providers say..."
https://www.google.com/transparencyreport/traffic/disruptions/47/,LY,Libya,YouTube,01/23/2010,08/21/2011,Global Voices,http://advocacy.globalvoicesonline.org/2010/02/09/libya-blocks-access-to-youtube-and-independent-websites/,Libya blocks access to Youtube and independent websites,"On January 24th, 2010, Libya Telecom and Technology (LTT) has blocked access to the popular video sharing website YouTube..."
https://www.google.com/transparencyreport/traffic/disruptions/46/,KZ,Kazakhstan,Blogger,01/12/2010,06/27/2012,Radio Free Europe/Radio Liberty,http://www.rferl.org/content/NGO_Says_14_Websites_Being_Blocked_In_Kazakhstan/1941642.html,NGO Says 14 Websites Being Blocked In Kazakhstan,The Kazakh nongovernmental organization For The Free Internet announced today that at least 14 websites have been blocked...
https://www.google.com/transparencyreport/traffic/disruptions/58/,CN,China,Google Sites,10/11/2009,,,,,Google Sites inaccessible.
https://www.google.com/transparencyreport/traffic/disruptions/117/,MA,Morocco,Google Earth,08/01/2009,06/04/2013,Sahara Press Service,http://www.spsrasd.info/en/content/censorship-internet-morocco,Censorship of the internet in the Morocco,"Total censorship of Google Earth to the Morocco is a case unique in the world, while some countries have asked Google to not display..."
https://www.google.com/transparencyreport/traffic/disruptions/56/,CN,China,Picasa Web Albums,07/16/2009,,Shanghai Tech Writer,http://www.shanghaitechwriter.com/2009/07/25/google-picasa-web-album-blocked-in-china/,Google Picasa Web Album Blocked in China,"Starting last week, Google’s Picasa Web Album has been blocked in China, adding to an already long list of websites blocked..."
https://www.google.com/transparencyreport/traffic/disruptions/73/,TR,Turkey,Google Sites,06/24/2009,,,,,ACCESS to the Website named http://sites.google.com/ be BANNED pursuant to Article 8 of the Law no 5651
https://www.google.com/transparencyreport/traffic/disruptions/55/,IR,Iran,YouTube,06/13/2009,,AFP,http://www.google.com/hostednews/afp/article/ALeqM5jSPlmVgh-SfeEO9WhpOVG6Slnu0w,"Mobile phones, Facebook, YouTube cut in Iran",The main mobile telephone network in Iran was cut...popular Internet websites Facebook and YouTube also appeared to be blocked...
https://www.google.com/transparencyreport/traffic/disruptions/54/,CN,China,Blogger,06/02/2009,07/28/2009,Danwei,http://www.danwei.org/net_nanny_follies/bloggercom_blocked_but_not_the.php,"Blogger.com blocked, but not the Washington Post","Google's blogging platform Blogspot, aka Blogger.com, is blocked again."
https://www.google.com/transparencyreport/traffic/disruptions/53/,CN,China,YouTube,03/23/2009,,New York Times,http://www.nytimes.com/2009/03/25/technology/internet/25youtube.html,"YouTube Blocked in China, Google Says",Google said Tuesday that its YouTube video-sharing Web site had been blocked in China.
https://www.google.com/transparencyreport/traffic/disruptions/52/,BD,Bangladesh,YouTube,03/06/2009,03/11/2009,BBC,http://news.bbc.co.uk/2/hi/7932659.stm,Bangladesh imposes YouTube block,The video-sharing web site YouTube has been blocked by Bangladesh after a recording of a meeting between the PM and army officers was posted…
https://www.google.com/transparencyreport/traffic/disruptions/43/,MM,Myanmar (Burma),YouTube,,08/23/2011,Reuters,http://www.reuters.com/article/2011/09/15/us-myanmar-media-idUSTRE78E2QJ20110915,Myanmar lifts bans on foreign news websites,"Myanmar lifted bans on prominent news websites on Thursday, including some run by critics of the army-dominated government..."
https://www.google.com/transparencyreport/traffic/disruptions/32/,SY,Syria,YouTube,,02/08/2011,Associated Press,http://www.alarabiya.net/articles/2011/02/08/136844.html,Syria appears to lift ban on Facebook & YouTube,Internet users in Syria say Facebook and YouTube are available for the first time in three years amid signs Damascus may be lifting its ban…
